Date,Open,High,Low,Close,Volume
2020-01-01,11984.33,12151.47,11873.9,12000.0,21399173
2020-01-02,12085.74,12186.26,12021.25,12076.33,37754671
2020-01-03,12053.7,12236.87,11964.92,12061.12,7941616
2020-01-06,12182.82,12192.17,11989.82,12159.69,44158729
2020-01-07,12393.77,12492.85,12292.1,12386.79,28883140
2020-01-08,12372.88,12497.06,12317.45,12356.94,23856153
2020-01-09,12309.04,12490.06,12205.76,12327.16,30693164
2020-01-10,12583.89,12620.11,12425.62,12565.7,48190526
2020-01-13,12707.9,12843.76,12519.81,12686.44,15815723
2020-01-14,12619.39,12735.96,12455.59,12620.05,48891737
2020-01-15,12712.66,12798.18,12588.14,12707.26,18608519
2020-01-16,12655.07,12688.61,12549.95,12641.68,6079037
2020-01-17,12559.73,12742.7,12400.62,12576.08,42706383
2020-01-20,12617.76,12668.66,12582.48,12617.63,41709632
2020-01-21,12327.98,12407.32,12269.06,12332.98,21889252
2020-01-22,12065.55,12152.36,11993.54,12082.64,49327859
2020-01-23,11999.58,12165.96,11955.15,12005.94,5889694
2020-01-24,11844.33,11992.31,11699.22,11864.82,22367564
2020-01-27,11891.71,12061.54,11809.45,11914.31,31537270
2020-01-28,11772.05,11851.22,11708.99,11789.26,46249514
2020-01-29,11615.65,11711.54,11545.16,11594.17,47852161
2020-01-30,11805.06,11914.06,11745.9,11802.73,15528922
2020-01-31,11797.41,11926.51,11641.25,11775.47,42621413
2020-02-03,11786.54,11952.17,11757.08,11789.72,9467801
2020-02-04,11584.14,11617.89,11437.72,11592.87,49152505
2020-02-05,11522.06,11645.77,11480.03,11521.77,49068669
2020-02-06,11538.93,11572.58,11514.28,11541.72,5693464
2020-02-07,11368.96,11490.94,11242.34,11386.92,14107338
2020-02-10,11449.26,11508.49,11378.58,11442.81,40131847
2020-02-11,11352.01,11432.97,11200.39,11364.92,42817095
2020-02-12,11335.1,11404.33,11219.45,11329.68,42148256
2020-02-13,11259.17,11365.79,11159.14,11252.41,20872628
2020-02-14,11491.0,11580.0,11421.27,11507.02,26445439
2020-02-17,11489.56,11642.41,11477.15,11509.76,29814053
2020-02-18,11381.04,11450.79,11297.1,11368.27,39912788
2020-02-19,11483.19,11518.21,11384.61,11485.03,23292935
2020-02-20,11301.36,11459.36,11270.71,11321.37,25918642
2020-02-21,11376.75,11419.16,11324.26,11354.27,30981941
2020-02-24,11072.19,11176.39,10928.61,11091.81,39391998
2020-02-25,10927.98,11038.6,10895.14,10919.46,45196948
2020-02-26,10970.81,11018.85,10797.64,10949.62,48099583
2020-02-27,11039.5,11081.27,11002.27,11051.03,13483063
2020-02-28,11062.33,11154.19,10952.38,11078.18,13123155
2020-03-02,11050.48,11225.25,10920.25,11067.24,7336798
2020-03-03,11022.99,11145.77,10929.28,11031.68,34550065
2020-03-04,10823.06,10956.67,10768.51,10840.36,23935560
2020-03-05,10759.32,10860.93,10643.03,10751.06,33546713
2020-03-06,10677.2,10744.99,10543.08,10695.93,18395337
2020-03-09,10836.3,10916.49,10757.8,10835.89,23511644
2020-03-10,10906.53,11012.94,10849.33,10884.91,42376501
2020-03-11,10672.36,10694.34,10552.19,10658.97,48986723
2020-03-12,10709.62,10764.77,10574.22,10704.69,8144787
2020-03-13,10651.24,10719.11,10560.94,10659.51,13346988
2020-03-16,10582.42,10657.74,10425.17,10577.18,48496789
2020-03-17,10660.2,10816.22,10612.86,10659.05,49221254
2020-03-18,10792.0,10826.25,10749.23,10795.19,46547158
2020-03-19,10904.01,11015.62,10839.82,10920.15,30621928
2020-03-20,10831.26,10861.39,10701.97,10814.54,13045391
2020-03-23,10776.57,10936.31,10729.13,10778.74,47177125
2020-03-24,10812.67,10863.5,10741.57,10825.9,14146779
2020-03-25,10951.17,11036.36,10910.25,10956.96,5498095
2020-03-26,10894.6,11024.68,10824.33,10898.34,49110501
2020-03-27,10892.67,10999.81,10826.17,10878.42,35046221
2020-03-30,10748.38,10818.84,10660.83,10738.35,48433464
2020-03-31,10599.91,10657.38,10486.68,10588.5,30187400
2020-04-01,10675.06,10772.66,10668.74,10695.98,17061944
2020-04-02,10870.68,10933.44,10787.71,10874.33,16151870
2020-04-03,10868.47,10920.04,10791.75,10869.28,49667482
2020-04-06,10983.36,11095.64,10871.0,11004.52,41884695
2020-04-07,11046.06,11117.39,10980.76,11056.68,18911580
2020-04-08,10986.94,11038.48,10892.44,10975.51,8665842
2020-04-09,11011.49,11143.7,10888.58,11027.5,49681008
2020-04-10,11237.02,11399.37,11075.61,11235.44,7791338
2020-04-13,11222.3,11345.74,11154.85,11235.1,49129243
2020-04-14,11428.2,11484.9,11392.47,11450.54,16300059
2020-04-15,11083.67,11128.25,11004.22,11095.15,36392470
2020-04-16,11230.36,11370.08,11073.93,11209.02,19413188
2020-04-17,11238.75,11291.05,11154.1,11225.21,15689065
2020-04-20,11210.0,11225.2,11033.24,11189.43,16841158
2020-04-21,11205.68,11315.9,11102.5,11206.22,13234025
2020-04-22,10926.34,11054.04,10802.52,10943.43,42499555
2020-04-23,10921.05,11032.85,10781.36,10918.96,15943336
2020-04-24,10968.11,11030.19,10834.41,10970.12,9768026
2020-04-27,11184.44,11193.59,11057.67,11169.06,32329593
2020-04-28,11086.21,11265.57,10944.88,11104.06,25860717
2020-04-29,11000.25,11058.65,10892.65,11000.77,43390593
2020-04-30,10923.62,11056.95,10847.62,10938.94,23557464
